 Wed, 07 Aug 2019 20:29:29  INFO logger.py <module> [ line:24 ] hehehe
 Wed, 07 Aug 2019 20:29:53  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_输入用户名  元素  ('xpath', '//input[@name="phone"]') 可见成功。耗时：0:00:00.421929
 Wed, 07 Aug 2019 20:29:53  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_输入用户名 元素 ('xpath', '//input[@name="phone"]') 成功！
 Wed, 07 Aug 2019 20:29:54  INFO basepage.py input_text [ line:94 ] 在 登陆页面_输入用户名 元素 ('xpath', '//input[@name="phone"]') 上输入文本值： 成功！
 Wed, 07 Aug 2019 20:29:54  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_输入密码  元素  ('xpath', '//input[@name="password"]') 可见成功。耗时：0:00:00.355103
 Wed, 07 Aug 2019 20:29:54  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_输入密码 元素 ('xpath', '//input[@name="password"]') 成功！
 Wed, 07 Aug 2019 20:29:55  INFO basepage.py input_text [ line:94 ] 在 登陆页面_输入密码 元素 ('xpath', '//input[@name="password"]') 上输入文本值：python 成功！
 Wed, 07 Aug 2019 20:29:55  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_点击登陆按钮  元素  ('xpath', '//button') 可见成功。耗时：0:00:00.437272
 Wed, 07 Aug 2019 20:29:55  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_点击登陆按钮 元素 ('xpath', '//button') 成功！
 Wed, 07 Aug 2019 20:29:56  INFO basepage.py click_element [ line:77 ] 点击  登陆页面_点击登陆按钮 元素 ('xpath', '//button') 成功！
 Wed, 07 Aug 2019 20:29:56  INFO basepage.py wait_ele_exists [ line:52 ] 等待 登陆页面_获取登陆表单的错误提示信息  元素  ('xpath', '//div[@class="form-error-info"]') 存在成功。耗时：0:00:00.268656
 Wed, 07 Aug 2019 20:29:56  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_获取登陆表单的错误提示信息 元素 ('xpath', '//div[@class="form-error-info"]') 成功！
 Wed, 07 Aug 2019 20:29:56  INFO basepage.py get_text [ line:133 ] 获取 登陆页面_获取登陆表单的错误提示信息 元素 ('xpath', '//div[@class="form-error-info"]') 的文本值为:请输入手机号
 Wed, 07 Aug 2019 20:30:10  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_输入用户名  元素  ('xpath', '//input[@name="phone"]') 可见成功。耗时：0:00:00.245382
 Wed, 07 Aug 2019 20:30:10  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_输入用户名 元素 ('xpath', '//input[@name="phone"]') 成功！
 Wed, 07 Aug 2019 20:30:10  INFO basepage.py input_text [ line:94 ] 在 登陆页面_输入用户名 元素 ('xpath', '//input[@name="phone"]') 上输入文本值：1868472055 成功！
 Wed, 07 Aug 2019 20:30:11  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_输入密码  元素  ('xpath', '//input[@name="password"]') 可见成功。耗时：0:00:00.204062
 Wed, 07 Aug 2019 20:30:11  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_输入密码 元素 ('xpath', '//input[@name="password"]') 成功！
 Wed, 07 Aug 2019 20:30:11  INFO basepage.py input_text [ line:94 ] 在 登陆页面_输入密码 元素 ('xpath', '//input[@name="password"]') 上输入文本值：python 成功！
 Wed, 07 Aug 2019 20:30:12  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_点击登陆按钮  元素  ('xpath', '//button') 可见成功。耗时：0:00:00.249540
 Wed, 07 Aug 2019 20:30:12  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_点击登陆按钮 元素 ('xpath', '//button') 成功！
 Wed, 07 Aug 2019 20:30:12  INFO basepage.py click_element [ line:77 ] 点击  登陆页面_点击登陆按钮 元素 ('xpath', '//button') 成功！
 Wed, 07 Aug 2019 20:30:12  INFO basepage.py wait_ele_exists [ line:52 ] 等待 登陆页面_获取登陆表单的错误提示信息  元素  ('xpath', '//div[@class="form-error-info"]') 存在成功。耗时：0:00:00.144510
 Wed, 07 Aug 2019 20:30:12  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_获取登陆表单的错误提示信息 元素 ('xpath', '//div[@class="form-error-info"]') 成功！
 Wed, 07 Aug 2019 20:30:12  INFO basepage.py get_text [ line:133 ] 获取 登陆页面_获取登陆表单的错误提示信息 元素 ('xpath', '//div[@class="form-error-info"]') 的文本值为:请输入正确的手机号
 Wed, 07 Aug 2019 20:30:26  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_输入用户名  元素  ('xpath', '//input[@name="phone"]') 可见成功。耗时：0:00:00.176814
 Wed, 07 Aug 2019 20:30:26  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_输入用户名 元素 ('xpath', '//input[@name="phone"]') 成功！
 Wed, 07 Aug 2019 20:30:27  INFO basepage.py input_text [ line:94 ] 在 登陆页面_输入用户名 元素 ('xpath', '//input[@name="phone"]') 上输入文本值：18684720553 成功！
 Wed, 07 Aug 2019 20:30:27  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_输入密码  元素  ('xpath', '//input[@name="password"]') 可见成功。耗时：0:00:00.223364
 Wed, 07 Aug 2019 20:30:27  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_输入密码 元素 ('xpath', '//input[@name="password"]') 成功！
 Wed, 07 Aug 2019 20:30:27  INFO basepage.py input_text [ line:94 ] 在 登陆页面_输入密码 元素 ('xpath', '//input[@name="password"]') 上输入文本值：python 成功！
 Wed, 07 Aug 2019 20:30:27  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_点击登陆按钮  元素  ('xpath', '//button') 可见成功。耗时：0:00:00.205403
 Wed, 07 Aug 2019 20:30:27  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_点击登陆按钮 元素 ('xpath', '//button') 成功！
 Wed, 07 Aug 2019 20:30:28  INFO basepage.py click_element [ line:77 ] 点击  登陆页面_点击登陆按钮 元素 ('xpath', '//button') 成功！
 Wed, 07 Aug 2019 20:31:02  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_输入用户名  元素  ('xpath', '//input[@name="phone"]') 可见成功。耗时：0:00:00.234863
 Wed, 07 Aug 2019 20:31:02  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_输入用户名 元素 ('xpath', '//input[@name="phone"]') 成功！
 Wed, 07 Aug 2019 20:31:03  INFO basepage.py input_text [ line:94 ] 在 登陆页面_输入用户名 元素 ('xpath', '//input[@name="phone"]') 上输入文本值：18684720000 成功！
 Wed, 07 Aug 2019 20:31:03  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_输入密码  元素  ('xpath', '//input[@name="password"]') 可见成功。耗时：0:00:00.144439
 Wed, 07 Aug 2019 20:31:03  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_输入密码 元素 ('xpath', '//input[@name="password"]') 成功！
 Wed, 07 Aug 2019 20:31:03  INFO basepage.py input_text [ line:94 ] 在 登陆页面_输入密码 元素 ('xpath', '//input[@name="password"]') 上输入文本值：python 成功！
 Wed, 07 Aug 2019 20:31:03  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_点击登陆按钮  元素  ('xpath', '//button') 可见成功。耗时：0:00:00.187656
 Wed, 07 Aug 2019 20:31:04  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_点击登陆按钮 元素 ('xpath', '//button') 成功！
 Wed, 07 Aug 2019 20:31:04  INFO basepage.py click_element [ line:77 ] 点击  登陆页面_点击登陆按钮 元素 ('xpath', '//button') 成功！
 Wed, 07 Aug 2019 20:31:04  INFO basepage.py wait_ele_exists [ line:52 ] 等待 登陆页面_获取页面中间的错误提示信息  元素  ('xpath', '//div[@class="layui-layer-content"]') 存在成功。耗时：0:00:00.596657
 Wed, 07 Aug 2019 20:31:04  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_获取页面中间的错误提示信息 元素 ('xpath', '//div[@class="layui-layer-content"]') 成功！
 Wed, 07 Aug 2019 20:31:04  INFO basepage.py get_text [ line:133 ] 获取 登陆页面_获取页面中间的错误提示信息 元素 ('xpath', '//div[@class="layui-layer-content"]') 的文本值为:此账号没有经过授权，请联系管理员!
